GENERAZIONE,MAX,MEDIA,VARIANZA
1432,116,114,12,
1433,116,114,9,
1434,116,114,6,
1435,116,114,6,
1436,116,114,7,
1437,116,114,6,
1438,116,115,3,
1439,116,115,1,
1440,116,115,1,
1441,116,115,0,
1442,116,115,0,
1443,116,34,830,
1444,116,39,814,
1445,116,42,633,
1446,116,52,763,
1447,116,60,714,
1448,116,67,620,
1449,116,77,456,
1450,116,83,340,
1451,114,86,271,
1452,116,90,276,
1453,116,91,282,
1454,116,96,236,
1455,116,99,157,
1456,116,102,100,
1457,116,103,97,
1458,116,104,74,
1459,116,104,77,
1460,116,107,61,
1461,116,108,44,
1462,116,108,43,
1463,116,109,39,
1464,116,110,29,
1465,116,112,25,
1466,116,112,23,
1467,116,113,15,
1468,116,114,14,
1469,116,114,13,
1470,116,114,9,
1471,116,114,11,
1472,116,114,8,
1473,116,114,5,
1474,116,114,5,
1475,116,115,3,
1476,116,115,1,
1477,116,115,0,
1478,116,115,0,
1479,116,34,851,
1480,116,39,863,
1481,116,46,910,
1482,116,55,814,
1483,116,62,621,
1484,116,68,595,
1485,116,75,685,
